Name,Customer_Segment,Customer_ID,Address,City,State,ZIP,Store_Number,Avg_Num_Products_Purchased,#_Years_as_Customer,Score_No,Score_Yes,Predicted amount
Mona Hopwood,Loyalty Club Only,327,8155 E Fairmount Dr,Denver,CO,80230,107,3,1,0.806855402,0.193144598,68.57405807
Muriel Hensley,Loyalty Club Only,418,5805 Clear Creek Dr,Denver,CO,80212,107,4,1,0.804608652,0.195391348,82.45905668
Nancy Roberts,Loyalty Club Only,2343,14228 W 69th Pl,Arvada,CO,80004,108,4,0.7,0.665633852,0.334366148,141.1092018
Nicole Huyck,Loyalty Club Only,820,6366 E 78th Ave,Commerce City,CO,80022,107,3,0.1,0.793417635,0.206582365,73.34500287
Noreen Jackson,Loyalty Club Only,3017,3935 S Richfield St,Aurora,CO,80013,105,5,0.8,0.359395473,0.640604527,313.2556137
Oralie Rosencranz,Loyalty Club Only,1017,7498 Alkire St,Arvada,CO,80005,109,3,0.8,0.787418475,0.212581525,75.47494464
Radost Ryagouzova,Loyalty Club Only,1958,1859 S Xavier St,Denver,CO,80219,100,3,0.5,0.731626635,0.268373365,95.28327951
Rayetta Johnson,Loyalty Club Only,2723,358 Mulberry Cir,Broomfield,CO,80020,109,4,0.9,0.557676743,0.442323257,186.6692609
Rebecca Holden,Loyalty Club Only,1997,922 S Zephyr Ct,Lakewood,CO,80226,106,4,0.8,0.731560296,0.268439704,113.2869239
Regina Barsocchini,Loyalty Club Only,3084,4690 Quitman St,Denver,CO,80212,107,4,0.2,0.281334047,0.718665953,303.2914055
Regina Reyes,Loyalty Club Only,754,1060 Laurel St,Broomfield,CO,80020,109,5,1,0.797012551,0.202987449,99.26086256
Roxanne Musselman,Loyalty Club Only,2856,294 Garnet St,Broomfield,CO,80020,108,2,0,0.50409656,0.49590344,142.8499449
Ruth Cook,Loyalty Club Only,1377,14181 E Iowa Dr,Aurora,CO,80012,105,1,0.3,0.769959375,0.230040625,50.85738138
Samantha Waldock,Loyalty Club Only,3249,10351 W Girton Dr,Lakewood,CO,80227,101,5,0.2,4.99E-03,0.995006409,486.558134
Sandra Meisinger,Loyalty Club Only,544,2210 Upham St,Lakewood,CO,80214,103,6,0.5,0.801363531,0.198636469,110.437904
Sheila Richardson,Loyalty Club Only,701,3460 S Poplar St,Denver,CO,80224,106,6,0.7,0.798684588,0.201315412,111.9273428
Sherry Miller,Loyalty Club Only,2567,19872 Montview Dr,Aurora,CO,80011,105,4,1,0.591264352,0.408735648,172.4946182
Shirley Pilon,Loyalty Club Only,2355,15790 E Alameda Pkwy,Aurora,CO,80017,105,3,0.2,0.663744278,0.336255722,119.3842315
Sue Herhalt,Loyalty Club Only,2249,601 W 11th Ave,Denver,CO,80204,106,4,0.6,0.694329024,0.305670976,128.9992653
Sun Young,Loyalty Club Only,2281,2354 W 23rd Cir,Golden,CO,80401,106,4,0.4,0.675072416,0.324927584,137.125939
Susan Brewer,Loyalty Club Only,3195,8280 Everett Way,Arvada,CO,80005,103,4,0.4,0.138266073,0.861733927,363.6689519
Tabatha Hoeben,Loyalty Club Only,444,7861 W 87th Dr,Arvada,CO,80005,109,2,0.9,0.803412943,0.196587057,56.62886764
Talloy Huntzinger,Loyalty Club Only,1641,293 Kenton St,Aurora,CO,80010,105,1,0.8,0.752607765,0.247392235,54.69347531
Terri Vasu,Loyalty Club Only,375,7309 W Hampden Ave,Lakewood,CO,80227,106,6,0.8,0.806547709,0.193452291,107.5556048
Theresa Gabriel,Loyalty Club Only,2321,3865 Perry St,Denver,CO,80212,107,1,0.7,0.672265692,0.327734308,72.45550081
Timberly Klinestiver,Loyalty Club Only,2210,13375 W Warren Cir,Lakewood,CO,80228,108,2,0.7,0.696622725,0.303377275,87.39085784
Tracy Williams,Loyalty Club Only,216,2720 E 13th Ave,Denver,CO,80206,105,4,0,0.809204609,0.190795391,80.51947091
Wendy Crenshaw,Loyalty Club Only,304,12483 W 8th Ave,Golden,CO,80401,106,3,0.6,0.807199896,0.192800104,68.45174892
Wendy Renaud,Loyalty Club Only,2629,700 S Alton Way,Denver,CO,80247,100,6,0.1,0.576544215,0.423455785,235.4329473
April Johnson,Store Mailing List,174,16951 E Stanford Ave,Aurora,CO,80015,104,2,0.9,0.809458598,0.190541402,36.58394918
Cleo Lujan,Store Mailing List,1361,7355 S Tempe Ct,Aurora,CO,80016,102,3,1,0.770920282,0.229079718,59.32706537
Debra Gallegos,Store Mailing List,3166,3781 Jackson Way,Thornton,CO,80233,107,2,0.3,0.251453728,0.748546272,143.7208842
Erin Reno,Store Mailing List,1597,995 Flower St,Lakewood,CO,80215,106,1,0.4,0.757446681,0.242553319,30.32401594
Gail Bear,Store Mailing List,645,7414 Deframe St,Arvada,CO,80005,108,2,0.5,0.799139504,0.200860496,38.56521523
Helen Forrester,Store Mailing List,2193,8193 W 9th Ave,Lakewood,CO,80214,106,2,0.2,0.710684542,0.289315458,55.54856794
Janice Coven,Store Mailing List,2187,24562 E Davies Way,Aurora,CO,80016,102,1,1,0.711508678,0.288491322,36.06718508
Jenna Kinsey,Store Mailing List,738,774 S Ivy St,Denver,CO,80224,100,1,0.1,0.797089182,0.202910818,25.36791047
Jennifer Odegard,Store Mailing List,3203,11739 E Canal Dr,Aurora,CO,80011,105,2,0.2,0.131085355,0.868914645,166.8316118
Karlene Macedo,Store Mailing List,457,6844 Nelson St,Arvada,CO,80004,108,1,0.4,0.803309432,0.196690568,24.59025481
Marguerite Zambrano,Store Mailing List,2451,5630 W 79th Ave,Arvada,CO,80003,108,2,0.3,0.621730413,0.378269587,72.6277607
Marissa Latta,Store Mailing List,3046,15692 E Jefferson Ave,Aurora,CO,80013,102,2,0.4,0.309270797,0.690729203,132.620007
Mary Prats,Store Mailing List,2470,7875 W 9th Ave,Lakewood,CO,80214,107,2,0.2,0.615422165,0.384577835,73.83894432
Michele Fry,Store Mailing List,423,3230 Williams St,Denver,CO,80205,107,1,0.6,0.803474149,0.196525851,24.56966189
Michelle Murray,Store Mailing List,2402,1382 S Cathay Ct,Aurora,CO,80017,104,1,0.7,0.646870044,0.353129956,44.1483071
Pam Gomez,Store Mailing List,3194,215 E 11th Ave,Denver,CO,80203,107,3,0.1,0.155789526,0.844210474,218.6336286
Patricia Morales,Store Mailing List,404,755 S Alton Way,Denver,CO,80247,100,2,0.9,0.805457462,0.194542538,37.3521673
S Gault,Store Mailing List,1327,291 S Jasper Cir,Aurora,CO,80017,105,1,0.7,0.77396621,0.22603379,28.25874443
Sarah Madrid,Store Mailing List,1876,2860 S Kenton Ct,Aurora,CO,80014,100,1,0.8,0.742047706,0.257952294,32.2491958
Vivian Weir,Store Mailing List,519,3894 Parfet St,Wheat Ridge,CO,80033,106,2,0.9,0.801379758,0.198620242,38.13508646
